01_ID,02_表示・非表示,03_商品名,04_画像ファイル名,05_申込URL,06_実質年率,07_限度額,08_審査時間,09_融資までの時間,10_ポイント,11_銀行系カードローン,12_即日融資,13_おまとめローン,14_スマホ対応,15_消費者金融,16_お試し審査,17_一定期間無利息,18_総量規制外,19_限度額大きい,20_自動審査（3秒）,21_30分以内,22_1時間以内,23_3時間以内,24_当日中,25_30万以上,26_100万以上,27_300万以上,28_500万以上,29_800万以上,30_4％以下,31_5％以下,32_6％以下,33_7％以下,34_8％以下,35_1時間以内,36_3時間以内,37_当日中,38_1週間以内,39_学生・主婦OK,40_来店不要,41_自動審査,42_保証人不要,43_土日祝日可,44_セブン,45_ファミマ,46_ローソン,47_サンクス,48_銀行系,49_非銀行系,50_金利並び替え用数字（少数NG）,51_審査時間並び替え用数字,52_融資スピード並び替え用数字,53_限度額並び替え用数字,54_優先クライアント,55_必要書類,56_保証人,57_担保,58_来店,59_入会金・手数料,60_借入時最低年齢,61_学生,62_専業主婦,63_アルバイト,64_返済方式,65_返済方法,66_返済期間・回数,67_資本金,68_会社設立年度,69_店舗営業時間,70_ATM営業時間,71_本社所在地,72_貸金業登録番号
201,0,"三菱東京ＵＦＪ銀行
カードローン",sc_mitubishi.gif,http://cashing-ex.net/link/mitubishi.html,4.6％～14.6％,10万～500万円,迅速,"<font color=""#FF0000""><b>最短即日</b></font>","<span class=""yellow""><b>今日借りれるカードローン最短即日で利用可能！</b></span>24時間365日インターネットより借り入れ可能です。三菱東京ＵＦＪ銀行の口座不要。パート、アルバイトの方も申込みが可能です。",1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,460,10,8,500,1,ご本人が確認できる書類（運転免許証、健康保険証等）,不要,不要,一切不要,無料,20歳,可,不可,可,残高スライド方式,自社ＡＴＭ、銀行・コンビニの提携ATM,-,"9,969億円",-,-,-,東京都千代田区丸の内二丁目7番1号,-
501,1,みずほ銀行カードローン,sc_mizuho.gif,http://cashing-ex.net/link/mizuho.html,"エグゼクティブプラン
年3.0%～7.0%


コンフォートプラン
年3.5～14.0％","最大1,000万円",最短即日,最短即日,"[エグゼクティブプラン] 金利年3.0％～7.0％。
最大ご利用限度額1,000万円。<br><font size=""""-2"""">※住宅ローンのご利用で、本カードローンの金利を年0.5％引き下げます。
エグゼクティブプランの年3.0％、コンフォートプランの年3.5％は引き下げ適用後の金利です。",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,400,8,8,1000,1,"・ご印鑑
・氏名、住所、生年月日が記載された本人確認ができる資料のコピー
　（運転免許証、健康保険証など）
・本人の年収を確認できる資料のコピー（源泉徴収票など）
　※ご利用限度額が200万円以下の場合は不要です。",不要,不要,不要（一部必要な場合もあります）,無料,20歳,可,可,"可
（ただし、配偶者に安定かつ継続した収入がある方は、限度額30万円を上限にお申し込みいただけます。）",残高スライド方式,"返済用普通預金からお引き落とし
ＡＴＭ／ＣＤ、コンビニATM、店頭窓口、インターネット",毎月10日（銀行休業日の場合、翌営業日）,-,-,-,-,-,-
601,1,モビット,sc_mobit.gif,http://cashing-ex.net/link/mobit.html,4.8%～18.0%,1万円～500万円,"最短30分で
審査完了※申込の曜日、時間帯によっては翌日以降の取扱となる場合があります。","当日融資
※14:50迄の振込手続完了で
当日振込可。
審査結果により不可の場合有。",おまとめ支持率が高いため借入れ一本化することに適しています。審査に不安の方は申込み前にモビットの10秒結果表示で確認できます。,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,480,2,7,500,1,運転免許証・健康保険証等の写し、現在の収入を証明する源泉徴収票等の写し,不要,不要,一切不要,無料,20歳,不可,不可,可,借入後残高スライド元利定額返済方式,口座振込・銀行/コンビニの提携ＡＴＭ・口座自動引き落とし,最長7年　（最大84回）,-,-,-,-,東京都新宿区西新宿2-4-1　新宿ＮＳビル10Ｆ,関東財務局長(5)第01239号
401,1,アコム,sc_acom.gif,http://cashing-ex.net/link/acom.html,4.7～18.0%,1万円～500万円,最短30分,最短即日,"<font color=""#FF0000""><b>30日間 金利 0 円サービス！</b></font><br>最短30分の審査時間！大手消費者金融なので安心してキャッシングができます。審査に不安の方は申し込み前にアコムの3秒診断をお試しください。",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,470,100,3,500,0,"運転免許証（交付を受けていない方は健康保険証等）
※お借入総額により収入証明書(源泉徴収票等)が必要",不要,不要,一切不要,無料,20～69歳の安定した収入と返済能力を有する方で、当社基準を満たす方,"可　　20歳以上で安定した収入がある方であればご利用可能。
（※未成年者は親権者の同意が必要です）",不可,可,定率リボルビング方式,"全国の提携ＣＤ・ＡＴＭでご利用・ご返済が可能です。
※提携ＣＤ・ＡＴＭの詳細についてはアコムのホームページでご確認下さい。",最終借入日から最長6年9ヵ月・1回～80回,"638億3,252万円",昭和53年10月23日（1978年10月23日）,9：30～18：00,24時間,東京都千代田区丸の内二丁目1番1号　明治安田生命ビル,関東財務局長(10)第00022号
101,1,"新生銀行カードローン
レイク",sc_lake.gif,http://cashing-ex.net/link/lake.html,4.5％～18.0％,1万円～500万円,画面に審査結果を表示,"即日
(※申込の時間帯によっては
対応できない場合がございます)",5万円までなら180日間無利息融資、30日間無利息サービスもお勧め。審査に不安な方は申込み前に【レイクの借入れ診断】で確認出来ます。,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,450,999,7,500,0,"運転免許証（お持ちでない方は健康保険証など）
収入証明(契約額に応じて必要とする場合)",不要,不要,一切不要,無料,20歳,可,不可,可,"・残高スライドリボルビング
・元利定額リボルビング","・店頭窓口
・提携ATM
・口座振込
・口座引落",5年間・60回　※自由返済の為、返済期間・回数はお借入れおよび返済計画に応じて変動,"665億1,870万5,427円",1994年10月1日,-,"平日・土曜日　8時45分～24時
日曜日・祝日　8時45分～22時",東京都中央区日本橋室町2丁目4番3号,-
301,0,プロミス,sc_promice.gif,http://cashing-ex.net/link/promice.html,4.5%～17.8%,1～500万円,最短30分,-,アルバイト・パート・派遣社員・契約社員の方も、契約可能です。審査に不安の方は申し込み前にプロミスのお試し審査で確認できます。,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,450,5,999,500,0,"運転免許証。（運転免許証をお持ちでない方は健康保険証、パスポートまたは外国人登録証明書をご用意ください。)
※お借入総額により収入証明書類（源泉徴収票等）が必要です。
※個人事業主の方は確定申告書(写し)等が必要です。",不要,不要,一切不要,無料,20歳以上69歳以下,可,不可,可,残高スライド元利定額返済方式,自社ATM、銀行・コンビニの提携ＡＴＭ、銀行振込、店頭窓口、現金書留,最終借入後原則最長6年9ヶ月・1～80回,"140,737百万円",昭和37年3月,-,-,東京都中央区銀座四丁目12番15号,関東財務局長（11）第00615号
801,1,"オリックス銀行
カードローン",sc_orix_bank.gif,http://cashing-ex.net/link/orix_bank.html,3.0％～17.8％,最高800万円,-,"契約後
最短即日","最短即日審査可能。<br><font color=""#FF0000""><b>300万円以下の借入は収入証明不要！</b></font>口座開設は不要。 振込みまたは、全国の提携ATMで借入・返済可。資金使途自由の極度型商品です。",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,300,999,8,800,0,"1.ご本人さまのお名前、ご住所、生年月日が確認できる資料の写し（以下のいずれか１通）
・運転免許証（裏面に住所変更の記載がある場合は両面とも）
・各種健康保険証（被保険者および被扶養者のページ）
・外国人登録証明書 ・印鑑証明書（※） ・住民票（※）
※発行後3ヵ月以内のものをご用意ください。

2.ご本人さまのご年収を確認できる資料の写し（以下のいずれか１通）
※申込金額が100万円以下の場合は不要です。
・源泉徴収票
・住民税決定通知書または課税証明書（※1）
・納税証明書（その2）（※2）
・確定申告書（付表付）（税務署の受付印のあるもの。e-Tax利用の場合は申告書の写し及び受信通知）（※3）
【ご注意】個人事業主、会社経営者の方は（※1）、（※2）、（※3）のいずれかに限ります。
※審査条件により、別途書類の提出をお願いする場合があります。
※ご提出いただいた書類は返却できませんので、あらかじめご了承ください。",不要,不要,一切不要,無料,20歳,不可,不可,可,残高スライドリボルビング方式,"下記1.2.3いずれかの方法によりご返済いただけます。
1.お客さまご指定の口座からの口座引落しによるご返済
2.当社指定口座へのお振り込みによるご返済
3.提携金融機関のＡＴＭからの入金によるご返済
※一部、口座引落しにご利用できない金融機関がございます。ご契約時にご確認ください。",1年(原則として審査のうえ自動更新),450億円,1993年8月23日,-,-,〒105-0014 東京都港区芝3-22-8　オリックス乾ビル,-
1901,0,プロミス レディースキャッシング,sc_promice_ladys.gif,http://cashing-ex.net/link/promice_ladys.html,4.5%～17.8%,1～500万円,-,-,女性オペレーターが対応！　レディース専用のキャッシングです。SMBCコンシューマーファイナンスのサービスブランドなので 安心してキャッシングできます。,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,450,999,999,500,0,"運転免許証。（運転免許証をお持ちでない方は健康保険証、パスポートまたは外国人登録証明書をご用意ください。)
※お借入総額により収入証明書類（源泉徴収票等）が必要です。
※個人事業主の方は確定申告書(写し)等が必要です。",不要,不要,一切不要,無料,20歳以上69歳以下,可,不可,可,残高スライド元利定額返済方式,自社ATM、銀行・コンビニの提携ＡＴＭ、銀行振込、店頭窓口、現金書留,最終借入後原則最長6年9ヶ月・1～80回,"140,737百万円",昭和37年3月,-,-,東京都中央区銀座四丁目12番15号,関東財務局長（11）第00615号
1201,0,アイフル,sc_aiful.gif,http://cashing-ex.net/link/aiful.html,4.5％～18.0％,500万円,最短30分,"<font color=""#FF0000""><b>１時間</b></font>","お申込みからご融資まで全てネットでご契約手続きが完了。
ご融資可能か1秒診断で確認、来店不要で、ネット契約！さらに即日融資も可能。",1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,450,1,8,300,0,運転免許証、健康保険証、パスポートなど,不要,不要,一切不要,無料,20歳,可,可,可,借入後残高スライド元利定額リボルビング返済方式,"全国の提携ＣＤ・ＡＴＭでご利用・ご返済が可能です。
※提携ＣＤ・ＡＴＭの詳細についてはアイフルのホームページでご確認下さい。",1回の支払いにつき35日以内または毎月払い借入直後最長14年6ヶ月（1～151回））※500万円を12.0％（実質年率）で借入した場合,"1,433億24百万円",昭和53年2月,-,24時間,京都府京都市下京区烏丸通五条上ル高砂町381-1,近畿財務局長(11)第00218号
4501,0,レディースアイフル,sc_aiful_ladys.gif,http://cashing-ex.net/link/aiful_ladys.html,4.5％～18.0％,500万円,最短30分,"<font color=""#FF0000""><b>最短１時間</b></font>","来店不要のネット契約！
ご融資可能か1秒診断で確認でき、審査時間は最短30分で即日融資対応。
<font color=""#FF0000"">パート・主婦の方も定期的収入があれば借り入れ可能。",1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,450,1,8,300,0,運転免許証、健康保険証、パスポートなど,不要,不要,一切不要,無料,20歳,可,可,可,借入後残高スライド元利定額リボルビング返済方式,"全国の提携ＣＤ・ＡＴＭでご利用・ご返済が可能です。
※提携ＣＤ・ＡＴＭの詳細についてはアイフルのホームページでご確認下さい。",1回の支払いにつき35日以内または毎月払い借入直後最長14年6ヶ月（1～151回））※500万円を12.0％（実質年率）で借入した場合,"1,433億24百万円",昭和53年2月,-,24時間,京都府京都市下京区烏丸通五条上ル高砂町381-1,近畿財務局長(11)第00218号
